setting_id,w_C_ACC,w_residual,w_B_neighbor,w_external,drug,score,rank,median_rank,q1_rank,q3_rank,minimum_rank,maximum_rank,top10_rate,top20_rate
2,0.0,0.1,0.4,0.5,Oxaliplatin,0.43670000000000003,79,73.0,42.5,92.0,6,106,0.024630541871921183,0.10344827586206896
2,0.0,0.1,0.4,0.5,Gilteritinib,0.4527,76,77.0,72.0,81.0,53,88,0.0,0.0
2,0.0,0.1,0.4,0.5,Trifluridine,0.3992,94,81.0,49.5,95.0,14,103,0.0,0.059113300492610835
2,0.0,0.1,0.4,0.5,Dacarbazine,0.5042,54,83.0,64.0,96.0,49,102,0.0,0.0
2,0.0,0.1,0.4,0.5,Erdafitinib,0.3942,96,81.0,63.5,93.0,34,97,0.0,0.0
2,0.0,0.1,0.4,0.5,Venetoclax,0.5375000000000001,39,74.0,65.0,82.0,33,92,0.0,0.0
2,0.0,0.1,0.4,0.5,Methotrexate,0.4044,93,83.0,48.0,97.0,6,108,0.024630541871921183,0.08374384236453201
2,0.0,0.1,0.4,0.5,Thiotepa,0.4711,68,82.0,77.0,85.0,56,92,0.0,0.0
2,0.0,0.1,0.4,0.5,Vemurafenib,0.5638000000000001,32,78.0,62.5,88.0,24,97,0.0,0.0
2,0.0,0.1,0.4,0.5,Everolimus,0.3841,99,93.0,76.0,101.0,45,105,0.0,0.0
2,0.0,0.1,0.4,0.5,Pralatrexate,0.39039999999999997,97,89.0,61.5,99.5,27,107,0.0,0.0
2,0.0,0.1,0.4,0.5,Sonidegib,0.5808,25,76.0,51.0,91.0,9,105,0.0049261083743842365,0.06403940886699508
2,0.0,0.1,0.4,0.5,Cisplatin,0.6759,5,70.0,42.5,87.0,3,103,0.07881773399014778,0.14285714285714285
2,0.0,0.1,0.4,0.5,Fludarabine,0.3681,101,91.0,80.0,100.0,63,103,0.0,0.0
2,0.0,0.1,0.4,0.5,Vinblastine,0.6012,21,82.0,56.0,95.0,13,104,0.0,0.04926108374384237
2,0.0,0.1,0.4,0.5,Mitoxantrone,0.491,60,86.0,80.0,91.0,51,96,0.0,0.0
2,0.0,0.1,0.4,0.5,Vinorelbine,0.39870000000000005,95,94.0,83.0,97.0,46,100,0.0,0.0
2,0.0,0.1,0.4,0.5,Clofarabine,0.37670000000000003,100,95.0,87.5,98.0,57,101,0.0,0.0
2,0.0,0.1,0.4,0.5,Neratinib,0.5909,22,84.0,55.5,98.5,3,108,0.024630541871921183,0.07389162561576355
