Rank,Sample ID,Sample Name,Average_ZAUC,CUACC1_ZAUC,CUACC2_ZAUC,H295R_ZAUC,CUACC1_AUC,CUACC2_AUC,H295R_AUC,CUACC1_IC50,CUACC2_IC50,H295R_IC50,IC50_n,Primary MOA,Gene Symbol
122,NCGC00346934-02,Sivelestat,-1.7714981945733663,-1.7078903186678278,-2.047538014193332,-1.559066250858939,317.859,312.552,347.501,,,,0,Leukocyte Elastase Inhibitor,ELA2
123,NCGC00484080-02,LX-7101,-1.7671708670116828,-1.8166552780831529,-1.3187640646874135,-2.166093258264482,309.123,385.683,294.954,,0.001278,,1,LIMK1/LIMK2 Inhibitor,LIMK1
124,NCGC00346455-02,Cobimetinib,-1.7656191235385497,-1.8299022923709163,-2.177814666254577,-1.289140411990156,308.059,299.479,370.867,,,,0,Mek Inhibitor,MAP2K1
125,NCGC00263216-02,Torin-2,-1.747323947278979,-1.7583260845322373,-1.3011254450784178,-2.182520312226282,313.808,387.453,293.532,,,,0,mTOR Inhibitor,MTOR
126,NCGC00346574-04,Lexibulin hydrochloride,-1.7442743078867593,-1.7123350405670115,-1.7938009901909298,-1.726686892902337,317.502,338.014,332.991,,,,0,Tubulin depolymerization Inhibitor,TUBB
127,NCGC00263215-04,Torin-1,-1.7423840373053183,-1.8656966213909552,-1.5590678348859028,-1.802387655639097,305.184,361.569,326.438,,0.087836,,1,mTOR Inhibitor,MTOR
128,NCGC00229511-21,Tofacitinib,-1.7419562068482983,-1.8658335736063365,-1.8487597399895805,-1.511275306948978,305.173,332.499,351.638,,0.001382,0.001345,2,Jak1/2/3 Inhibitor,JAK1
129,NCGC00390475-03,Napabucasin,-1.7401649681353661,-2.2976314585012894,-1.4054424338168179,-1.5174210120879912,270.491,376.985,351.106,,,,0,STAT-3 Inhibitor,STAT3
130,NCGC00165880-14,Reversine,-1.7360120211476295,-2.140634418869049,-0.6649990924678856,-2.4024025521059538,283.101,451.287,274.498,0.001841,0.002641,,2,Adenosine A3 Antagonist,ADORA3
131,NCGC00483929-01,KI-696,-1.7330174969868855,-1.4186347895817186,-2.2223795854022774,-1.5580381159766605,341.092,295.007,347.59,,,,0,NRF2:KEAP1 Inhibitor,KEAP1
132,NCGC00345083-01,Stauprimide,-1.7294622013046217,-1.1568942055857958,-2.3161034370534677,-1.7153889612746014,362.115,285.602,333.969,0.001411,,0.001198,2,lineage-specific differentiation enhancer,
133,NCGC00510496-01,VLX-1570,-1.7278144754865814,-1.7041428080469467,-1.749933643570139,-1.7293669748426583,318.16,342.416,332.759,,,,0,Ubiquitin C-terminal Hydrolase L5 (UCH-L5) Inhibitor,UCHL5
134,NCGC00345823-02,"Akt-I-1,2",-1.7234410752401168,-1.483326036047152,-2.2031465143032025,-1.4838506753699958,335.896,296.937,354.012,0.00452,,,1,AKT Inhibitor,AKT1
