drugA,drugB,B_ACC
Daunorubicin,Gemcitabine,0.212294
Oxaliplatin,Palbociclib,0.212137
Dexrazoxane,Irinotecan,0.212136
Fluorouracil,Gemcitabine,0.211523
Irinotecan,Mercaptopurine,0.210970
Lomustine,Nilotinib,0.210961
Fluorouracil,Vorinostat,0.210735
Etoposide,Pipobroman,0.210467
Mitomycin,Nitrogen mustard,0.209767
Carboplatin,Nilotinib,0.209644
Methotrexate,Sunitinib,0.209566
Mercaptopurine,Nilotinib,0.209136
Erdafitinib,Zanubrutinib,0.209001
Carmustine,Sunitinib,0.208909
Irinotecan,Teniposide,0.208407
Brigatinib,Everolimus,0.208311
Thiotepa,Valrubicin,0.207761
Oxaliplatin,Sunitinib,0.206868
Dabrafenib,tepotinib,0.206616
Irinotecan,Thiotepa,0.206213
Irinotecan,Triethylenemelamine,0.205751
Carmustine,Nilotinib,0.205489
Pipobroman,Teniposide,0.205382
Oxaliplatin,Raloxifene,0.205355
Docetaxel,Ifosfamide,0.205326
Hydroxyurea,Methotrexate,0.205104
Actinomycin D,Selinexor,0.205031
Ixazomib,tepotinib,0.204936
Asciminib,Ixabepilone,0.203949
Actinomycin D,Asciminib,0.202744
Melphalan,Mercaptopurine,0.202736
Imatinib,umbralisib,0.202626
Mitomycin,Teniposide,0.202276
Vemurafenib,tepotinib,0.201998
Asciminib,Ceritinib,0.201929
Docetaxel,Irinotecan,0.201741
Daunorubicin,Thiotepa,0.201091
Daunorubicin,Triethylenemelamine,0.200629
Mitomycin,Triethylenemelamine,0.200501
Dabrafenib,Vorinostat,0.200288
Cyclophosphamide,Gemcitabine,0.200242
Arsenic trioxide,Crizotinib,0.200114
Lomustine,Oxaliplatin,0.200007
Dacomitinib,Erlotinib,0.199735
Nilotinib,Selinexor,0.199697
Hydroxyurea,Oxaliplatin,0.199690
Raloxifene,Selinexor,0.199603
Carmustine,Oxaliplatin,0.198946
Carmustine,Mitoxantrone,0.198929
Abiraterone,Dasatinib,0.198484
Fruquintinib,Vandetanib,0.198303
Chlorambucil,Epirubicin,0.198285
Gemcitabine,Tioguanine,0.198002
Carmustine,tepotinib,0.197442
Asciminib,Nilotinib,0.197330
Asciminib,Raloxifene,0.197234
Mercaptopurine,Nitrogen mustard,0.196902
Fruquintinib,Pemigatinib,0.196019
Melphalan,Oxaliplatin,0.195903
Actinomycin D,Daunorubicin,0.195789
Hydroxyurea,Nitrogen mustard,0.195716
Selumetinib,tepotinib,0.195645
Afatinib,Erlotinib,0.195232
Ifosfamide,Selinexor,0.194577
Cisplatin,Gemcitabine,0.194559
Gemcitabine,Melphalan,0.193849
Chlorambucil,Gemcitabine,0.193789
Raloxifene,Vorinostat,0.193741
Nitrogen mustard,Thiotepa,0.193640
Crizotinib,Selinexor,0.193524
Erdafitinib,Pemigatinib,0.193362
Cobimetinib,tepotinib,0.193026
Everolimus,Pemigatinib,0.192563
Darolutamide,Raloxifene,0.192470
Ibrutinib,Lenvatinib,0.192320
Crizotinib,Selumetinib,0.191980
Ifosfamide,Thiotepa,0.191887
Dabrafenib,Nilotinib,0.191831
Erlotinib,Selpercatinib,0.191764
Cytarabine,Valrubicin,0.191673
Ifosfamide,Triethylenemelamine,0.191425
Asciminib,Crizotinib,0.191064
Arsenic trioxide,Docetaxel,0.190659
Cytarabine,Tioguanine,0.190513
Ixabepilone,Methotrexate,0.190172
Asciminib,Vorinostat,0.189983
Erdafitinib,Everolimus,0.189981
Encorafenib,Sunitinib,0.189788
Dexrazoxane,Thiotepa,0.189773
Asciminib,Tamoxifen,0.189684
Pipobroman,Valrubicin,0.189394
Dexrazoxane,Triethylenemelamine,0.189311
