disease,variant,drug,delta_z,exposed
ACC,uniform_ratio_gene_rank,nilotinib,-0.3390753680509999,False
ACC,uniform_ratio_gene_rank,olaparib,0.005907682230000155,False
ACC,uniform_ratio_gene_rank,osimertinib,-0.06497204837600001,False
ACC,uniform_ratio_gene_rank,oxaliplatin,-0.09990132948120001,False
ACC,uniform_ratio_gene_rank,paclitaxel,-0.11481168769999983,False
ACC,uniform_ratio_gene_rank,palbociclib,0.25287035321000007,True
ACC,uniform_ratio_gene_rank,panobinostat,0.03280347344000001,False
ACC,uniform_ratio_gene_rank,pemetrexed,-0.024881987179999898,False
ACC,uniform_ratio_gene_rank,pralatrexate,-0.029980592749999868,False
ACC,uniform_ratio_gene_rank,raloxifene,-0.13459945767200004,False
ACC,uniform_ratio_gene_rank,ribociclib,-0.05916925837500009,False
ACC,uniform_ratio_gene_rank,romidepsin,-0.06762198966999966,False
ACC,uniform_ratio_gene_rank,selinexor,0.061523362194999986,False
ACC,uniform_ratio_gene_rank,selumetinib,-0.14353212458099995,False
ACC,uniform_ratio_gene_rank,sirolimus,-0.09358500004200002,False
ACC,uniform_ratio_gene_rank,sonidegib,0.12228291226000021,False
ACC,uniform_ratio_gene_rank,sunitinib,-0.44991818650800003,False
ACC,uniform_ratio_gene_rank,tamoxifen,-0.07087456813099996,False
ACC,uniform_ratio_gene_rank,temsirolimus,-0.2622782871035,False
ACC,uniform_ratio_gene_rank,teniposide,-0.08096645802000002,False
ACC,uniform_ratio_gene_rank,thiotepa,0.4138521930600001,False
ACC,uniform_ratio_gene_rank,tioguanine,0.23941976933999998,False
ACC,uniform_ratio_gene_rank,tivozanib,-0.01128316840900001,False
ACC,uniform_ratio_gene_rank,topotecan,0.021525411030000052,False
ACC,uniform_ratio_gene_rank,trametinib,-0.04632273044199997,False
ACC,uniform_ratio_gene_rank,trifluridine,-0.018632754847999977,False
ACC,uniform_ratio_gene_rank,tucatinib,0.007631579509999931,False
ACC,uniform_ratio_gene_rank,umbralisib,-0.21060470052000024,False
ACC,uniform_ratio_gene_rank,valrubicin,-0.08299518148999985,False
ACC,uniform_ratio_gene_rank,vandetanib,-0.10819845609099998,False
ACC,uniform_ratio_gene_rank,vemurafenib,-0.08255665060300005,False
ACC,uniform_ratio_gene_rank,venetoclax,0.12003812792000002,False
ACC,uniform_ratio_gene_rank,vinblastine,-0.09443330712199999,False
ACC,uniform_ratio_gene_rank,vinorelbine,-0.2267079058000001,False
ACC,uniform_ratio_gene_rank,vorinostat,0.12944844675199996,False
ACC,uniform_ratio_gene_rank,zoledronate,0.06981012377400003,False
ACC,symmetric_gene_rank,abemaciclib,0.6798731769719999,True
ACC,symmetric_gene_rank,abiraterone,-0.34895133490200003,False
ACC,symmetric_gene_rank,acalabrutinib,-0.17837141552300007,False
ACC,symmetric_gene_rank,actinomycin d,-0.22776452214999998,False
ACC,symmetric_gene_rank,afatinib,0.10844218600599997,False
ACC,symmetric_gene_rank,allopurinol,1.6344096448100007,False
ACC,symmetric_gene_rank,asciminib,0.155423499221,False
ACC,symmetric_gene_rank,axitinib,0.8616618763989999,False
ACC,symmetric_gene_rank,azacitidine,-0.3395900727300001,False
ACC,symmetric_gene_rank,belinostat,0.03499242617999987,False
ACC,symmetric_gene_rank,binimetinib,-0.16758939258299999,False
ACC,symmetric_gene_rank,bleomycin,0.018180302179999996,False
ACC,symmetric_gene_rank,bosutinib,-0.09422060981630001,False
ACC,symmetric_gene_rank,brigatinib,-0.2903091663899997,False
ACC,symmetric_gene_rank,cabozantinib,0.8616618763989999,False
