draw,spearman_vs_locked_ADRS_rank,top20_jaccard_vs_locked,spearman_vs_uniform_ADRS_rank,top20_jaccard_vs_uniform,mean_absolute_rank_change_vs_locked,maximum_absolute_rank_change_vs_locked,Abemaciclib_rank,Palbociclib_rank,Ribociclib_rank
698,0.97942210409,0.666666666667,0.983890175007,0.739130434783,3.75925925926,28,15,51,48
699,0.983566263683,0.818181818182,0.992388083874,0.818181818182,3.44444444444,26,14,52,47
700,0.975630436232,0.818181818182,0.987767584098,0.818181818182,4.42592592593,33,8,33,50
701,0.983632951309,0.818181818182,0.990901902503,0.904761904762,3.48148148148,30,7,31,49
702,0.985976545009,0.904761904762,0.990006382958,0.818181818182,2.48148148148,33,16,59,48
703,0.985843169758,0.818181818182,0.99313117456,0.904761904762,3.03703703704,29,13,49,46
704,0.984909542999,0.904761904762,0.9898539541,0.818181818182,2.88888888889,33,15,59,48
705,0.986900644965,0.818181818182,0.992445244696,0.904761904762,2.68518518519,28,10,50,48
706,0.987453199577,0.904761904762,0.989920641725,1,2.96296296296,24,8,26,51
707,0.985776482132,0.818181818182,0.988072441815,0.904761904762,2.88888888889,32,16,58,48
708,0.97682128669,0.818181818182,0.989091809807,0.904761904762,3.83333333333,34,8,27,47
709,0.990539883964,0.818181818182,0.993312183829,0.904761904762,2.51851851852,20,7,29,49
710,0.980584374137,0.818181818182,0.990282660265,0.818181818182,3.16666666667,35,16,61,49
711,0.980184248383,0.904761904762,0.989882534511,0.904761904762,3.12962962963,35,17,61,48
712,0.980689168977,0.904761904762,0.988377299532,0.818181818182,3.11111111111,33,15,59,48
713,0.988024807797,0.904761904762,0.990587517982,0.904761904762,2.57407407407,30,6,24,49
714,0.978821915459,0.739130434783,0.989796793278,0.739130434783,4.18518518519,28,8,29,50
715,0.988682157249,0.818181818182,0.987376985148,0.904761904762,2.7962962963,21,7,27,49
716,0.987329351129,0.818181818182,0.991854582869,0.818181818182,2.42592592593,32,11,51,49
717,0.985938437795,0.904761904762,0.995007954881,0.818181818182,3.33333333333,29,7,29,49
718,0.992797736431,0.739130434783,0.99237855707,0.818181818182,2.62962962963,14,9,27,48
719,0.991263921042,0.904761904762,0.990997170539,0.904761904762,2.07407407407,25,13,51,46
720,0.990625625196,0.904761904762,0.992007011727,1,2.16666666667,33,9,31,50
721,0.981013080301,0.739130434783,0.988434460354,0.818181818182,3.66666666667,32,8,34,50
722,0.978717120619,0.739130434783,0.988205817066,0.739130434783,3.64814814815,31,15,57,49
723,0.981699010165,0.818181818182,0.990854268484,0.818181818182,3.57407407407,26,13,52,49
724,0.988243924281,0.904761904762,0.991721207618,0.818181818182,2.55555555556,26,10,50,48
725,0.991330608667,0.818181818182,0.995436661046,0.904761904762,2.75925925926,19,7,26,49
726,0.981880019435,0.904761904762,0.987415092362,0.818181818182,3.38888888889,30,7,26,48
727,0.994045747711,1,0.991644993188,0.904761904762,1.66666666667,25,7,26,51
728,0.98675774291,0.818181818182,0.991759314832,0.904761904762,2.85185185185,29,13,55,47
729,0.97325826212,0.666666666667,0.987024493412,0.739130434783,4.94444444444,28,12,35,49
730,0.988682157249,0.904761904762,0.994236283784,0.904761904762,2.90740740741,29,10,29,50
731,0.992245181819,1,0.993283603418,0.904761904762,2.40740740741,22,7,26,47
732,0.989577676794,0.904761904762,0.989377613917,0.904761904762,2.75925925926,19,9,25,49
733,0.974982613583,0.739130434783,0.988577362409,0.739130434783,4.35185185185,32,7,27,49
734,0.994617355931,0.818181818182,0.994331551821,0.904761904762,2.24074074074,13,11,30,48
735,0.972629493079,0.739130434783,0.984395095601,0.818181818182,4.57407407407,30,9,29,48
736,0.977345260892,0.739130434783,0.989882534511,0.739130434783,4.11111111111,28,9,33,52
737,0.983280459573,0.904761904762,0.986786323321,0.818181818182,3.03703703704,29,13,55,50
738,0.982527842084,0.904761904762,0.986672001677,0.818181818182,3.24074074074,31,14,57,49
739,0.989596730401,0.904761904762,0.99440776625,1,2.5,31,9,28,48
740,0.980813017425,0.904761904762,0.990235026246,0.818181818182,2.83333333333,34,16,60,49
741,0.973086779655,0.739130434783,0.985814589347,0.739130434783,4.31481481481,33,17,59,50
742,0.992007011727,0.904761904762,0.991616412777,0.818181818182,1.96296296296,30,12,30,47
743,0.97963169377,0.739130434783,0.989101336611,0.739130434783,3.98148148148,24,8,29,49
