draw,weight_G,weight_R,weight_P,weight_L,weight_S,spearman_vs_locked_ADRS_rank,top20_jaccard_vs_locked,CDK46_mean_rank,Abemaciclib_rank,Palbociclib_rank,Ribociclib_rank
94,0.00236491192672,0.0149191239918,0.46213559105,0.48687806539,0.0337023076416,0.99612259091,0.904761904762,29.6666666667,10,30,49
95,0.000782725739631,0.426562271368,0.197830936157,0.124824823078,0.249999243657,0.998780569131,1,28,8,27,49
96,0.0794870578871,0.222486904604,0.0791888407079,0.081191323268,0.537645873533,0.998723408309,1,28,7,26,51
97,0.094536332188,0.042256613693,0.0596821248906,0.301380605831,0.502144323397,0.998247068126,1,27.6666666667,8,27,48
98,0.233125045035,0.0302189601996,0.0940840193888,0.365417245952,0.277154729425,0.998771042328,1,28,8,27,49
99,0.173678394887,0.101191046572,0.309315121381,0.153270168507,0.262545268653,0.998875837168,1,28,8,27,49
100,0.0130886207932,0.0855309476567,0.0547204624041,0.400630404142,0.446029565004,0.997904103194,1,27.6666666667,8,27,48
101,0.182119540455,0.0581408423646,0.11831282688,0.546406016681,0.09502077362,0.997761201139,0.904761904762,29.3333333333,10,29,49
102,0.203564205594,0.159893795368,0.0254699586096,0.585405177779,0.0256668626495,0.998056532053,0.904761904762,30,11,30,49
103,0.11853053979,0.341452148527,0.0487107439461,0.403787342794,0.0875192249428,0.998485238218,1,28.3333333333,8,28,49
104,0.223357100763,0.176311484601,0.164658897833,0.066618708192,0.36905380861,0.999380757762,1,28.3333333333,8,26,51
105,0.215955276226,0.375052421215,0.171541594293,0.149411574849,0.0880391334177,0.999342650547,1,28.3333333333,8,27,50
106,0.107600937349,0.0822274293936,0.11042995676,0.169013396294,0.530728280204,0.998799622739,1,27.3333333333,8,26,48
107,0.0535047273993,0.258456236478,0.0356136197359,0.269683949226,0.38274146716,0.998304228948,1,28,8,27,49
108,0.05808320298,0.119407904631,0.370331586146,0.152006007159,0.300171299084,0.998599559862,1,28,8,27,49
109,0.0612751896751,0.0230638492108,0.163791765719,0.438351824464,0.313517370931,0.997551611459,1,28.3333333333,8,29,48
110,0.316920564477,0.396386514351,0.0922267297984,0.0492142701683,0.145251921206,0.999456972191,1,28,8,26,50
111,0.212729532147,0.107782189001,0.575649706705,0.0405890747046,0.0632494974417,0.998952051597,1,28,8,27,49
112,0.133253029817,0.20204260535,0.257806265159,0.154828151298,0.252069948376,0.999094953652,1,28,8,27,49
113,0.0832053439312,0.320317448736,0.150719020679,0.189752442909,0.256005743745,0.998952051597,1,28,8,27,49
